J1746-2849    dcl09      J1746-2849    dcl09      17:46:03.7       1.0e-01   dcl09      -28:49:19        2.1e+01   dcl09      1.478480373          2.0e-09   dcl09      1456       3.0e+00   dcl09      0.4          0  dcl09      *                               *       *          misc                                             
J1746-2850    dcl09      J1746-2850    dcl09      17:46:06.6       2.0e-01   dcl09      -28:50:42        5.0e+00   dcl09      1.0771014910         4.0e-10   dcl09      962.7      7.0e-01   dcl09      0.8          0  dcl09      *                               *       *          misc                                             
J1746-2856    jkl+06     J1746-2856    jkl+06     17:46:49.5       5.0e-01   jkl+06     -28:56:31.0      2.0e-01   jkl+06     0.945224316          3.0e-09   jkl+06     1168       7.0e+00   jkl+06     *            0  *          *                               *       *          misc                                             
J1746-3239    pga+12     J1746-3239    pga+12     17:46:54.947     8.0e-03   pga+12     -32:39:55.8      7.0e-01   pga+12     0.1995413598713      1.2e-12   pga+12     *                0  *          *            0  *          NRAD                            *       *          FermiBlind                                       
J1747-1030    bbb+12     J1747-1030    bbb+12     17:47:58.31      6.0e-02   bbb+12     -10:30:05        4.0e+00   bbb+12     1.5787928888         2.0e-10   bbb+12     128        7.0e+00   bbb+12     *            0  *          *                               *       *          htru_pks                                         
J1747-2647    kel+09     J1747-2647    kel+09     17:47:30.894     1.6e-02   kel+09     -26:47:14        5.0e+00   kel+09     0.500254454491       1.6e-11   kel+09     570        9.0e+00   kel+09     1.54         0  kel+09     *                               *       *          pksmb,htru_pks                                   
J1747-2802    mhl+02     J1747-2802    mhl+02     17:47:26.55      1.8e-01   mhl+02     -28:02:37        3.3e+01   mhl+02     2.7800791979         8.0e-10   mhl+02     835        1.4e+01   mhl+02     0.5    1.0e-01   mhl+02     *                               *       *          pksmb                                            
J1747-2809    crgl09     J1747-2809    crgl09     17:47:22.80      3.0e-02   gpg01      -28:09:15.0      5.0e-01   gpg01      0.052152855          2.0e-09   crgl09     1133       3.0e+00   crgl09     *            0  *          *                               *       *          misc                                             
J1747-2958    cmgl02     J1747-2958    cmgl02     17:47:15.882     8.0e-03   gvc+04     -29:58:01.0      7.0e-01   gvc+04     0.0988139764825      2.0e-12   gvc+04     101.5      1.6e+00   cmgl02     0.25   3.0e-02   cmgl02     *                               *       *          misc                                             
J1747-4036    kcj+12     J1747-4036    kcj+12     17:47:29         3.9e+01   kcj+12     -40:36           7.0e+00   kcj+12     0.00165                    0  kcj+12     152.9            0  kcj+12     *            0  *          HE                              *       *          FermiAssoc                                       
B1745-12      mlt+78     J1748-1300    mlt+78     17:48:17.4077    1.7e-03   hlk+04     -13:00:52.08     1.4e-01   hlk+04     0.3941333466126      1.4e-12   hlk+04     99.364     6.0e-03   hlk+04     2.0    3.0e-01   lylg95     *                               *       *          mol2,gb2,pks70,pkssw                             
B1745-20A     mlj+89b    J1748-2021A   mlj+89b    17:48:52.689     2.0e-03   frb+08     -20:21:39.7      5.0e-01   frb+08     0.2886027917197      1.6e-12   frb+08     219.4      2.0e-01   frb+08     0.37   5.0e-02   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
J1748-2021B   frb+08     J1748-2021B   frb+08     17:48:52.95290   8.0e-05   frb+08     -20:21:38.86     1.9e-01   frb+08     0.016760127219257    5.0e-15   frb+08     220.922    1.1e-02   frb+08     *            0  *          *                               BT      frb+08     misc                                             
J1748-2021C   frb+08     J1748-2021C   frb+08     17:48:51.17320   1.5e-04   frb+08     -20:21:53.81     4.0e-02   frb+08     0.006226932720487    3.0e-15   frb+08     226.95     6.0e-02   frb+08     *            0  *          *                               *       *          misc                                             
J1748-2021D   frb+08     J1748-2021D   frb+08     17:48:51.64665   7.0e-05   frb+08     -20:21:07.414    1.8e-02   frb+08     0.013495820403909    3.0e-15   frb+08     224.98     3.0e-02   frb+08     *            0  *          *                               BT      frb+08     misc                                             
J1748-2021E   frb+08     J1748-2021E   frb+08     17:48:52.80040   1.4e-04   frb+08     -20:21:29.38     3.0e-02   frb+08     0.016264003411125    6.0e-15   frb+08     224.10     4.0e-02   frb+08     *            0  *          *                               *       *          misc                                             
J1748-2021F   frb+08     J1748-2021F   frb+08     17:48:52.3339    3.0e-04   frb+08     -20:21:39.33     9.0e-02   frb+08     0.003793629114948    3.0e-15   frb+08     220.43     8.0e-02   frb+08     *            0  *          *                               BT      frb+08     misc                                             
J1748-2444    lmd+90     J1748-2444    lmd+90     17:48:48.51      2.0e-02   hlk+04     -24:44:37        1.1e+01   hlk+04     0.442838499130       6.0e-12   hlk+04     207.33     9.0e-02   hlk+04     0.34   4.0e-02   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
B1744-24A     lmd+90     J1748-2446A   lmd+90     17:48:02.255     2.0e-03   lmbm00     -24:46:36.9      6.0e-01   lmbm00     0.01156314838986     3.0e-14   lmbm00     242.15     4.0e-02   hfs+04     0.61   7.0e-02   hfs+04     *                               BT      lmbm00     misc,pksmb                                       
J1748-2446aa  fre08      J1748-2446aa  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00578804                 0  fre08      237.42           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ab  fre08      J1748-2446ab  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00511971                 0  fre08      238.34           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ac  fre08      J1748-2446ac  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00508691                 0  fre08      238.72           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ad  hrs+06     J1748-2446ad  hrs+06     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00139595482        6.0e-11   hrs+06     235.6      1.0e-01   hrs+06     *            0  *          *                               ELL1    hrs+06     misc                                             
J1748-2446ae  fre08      J1748-2446ae  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00365859                 0  fre08      238.75           0  fre08      *            0  *          *                               BT      fre08      misc                                             
J1748-2446af  fre08      J1748-2446af  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00330434                 0  fre08      237.34           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ag  fre08      J1748-2446ag  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00444803                 0  fre08      237.75           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ah  fre08      J1748-2446ah  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00496515                 0  fre08      237.75           0  fre08      *            0  *          *                               *       *          misc                                             
J1748-2446ai  fre08      J1748-2446ai  fre08      17:48:04.8             0  clge02     -24:46:45              0  clge02     0.02122838                 0  fre08      233.9            0  fre08      *            0  *          *                               BT      fre08      misc                                             
J1748-2446C   lmbm00     J1748-2446C   lmbm00     17:48:04.54      1.0e-02   lmbm00     -24:46:36        4.0e+00   lmbm00     0.0084360953044      1.0e-13   lmbm00     237        1.0e+00   lmbm00     *            0  *          *                               *       *          misc                                             
J1748-2446D   rhs+05     J1748-2446D   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00471398                 0  rhs+05     243.83           0  rhs+05     *            0  *          *                               *       *          misc                                             
J1748-2446E   rhs+05     J1748-2446E   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00219780                 0  rhs+05     236.84           0  rhs+05     *            0  *          *                               BT      rhs+05     misc                                             
J1748-2446F   rhs+05     J1748-2446F   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00554014                 0  rhs+05     239.18           0  rhs+05     *            0  *          *                               *       *          misc                                             
J1748-2446G   rhs+05     J1748-2446G   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.02167187                 0  rhs+05     237.57           0  rhs+05     *            0  *          *                               *       *          misc                                             
J1748-2446H   rhs+05     J1748-2446H   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00492589                 0  rhs+05     238.13           0  rhs+05     *            0  *          *                               *       *          misc                                             
J1748-2446I   rhs+05     J1748-2446I   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.00957019                 0  rhs+05     238.73           0  rhs+05     *            0  *          *                               BT      rhs+05     misc                                             
J1748-2446J   rhs+05     J1748-2446J   rhs+05     17:48:04.8             0  clge02     -24:46:45              0  clge02     0.08033793                 0  rhs+05     234.35           0  rhs+05     *            0  *          *                               BT      rhs+05     misc                                             
